state,country,date,cases,deaths
Durango,Mexico,2021-01-30,28832,1873
Guanajuato,Mexico,2021-01-30,107064,7317
Guerrero,Mexico,2021-01-30,31330,3102
Hidalgo,Mexico,2021-01-30,31728,4594
Jalisco,Mexico,2021-01-30,69856,8494
Mexico,Mexico,2021-01-30,191471,24329
Michoacan,Mexico,2021-01-30,40135,3628
Morelos,Mexico,2021-01-30,18928,1866
Nayarit,Mexico,2021-01-30,9965,1328
Nuevo Leon,Mexico,2021-01-30,106333,6724
Oaxaca,Mexico,2021-01-30,35064,2532
Puebla,Mexico,2021-01-30,61507,7089
Queretaro,Mexico,2021-01-30,47228,2798
Quintana Roo,Mexico,2021-01-30,18749,2232
San Luis Potosi,Mexico,2021-01-30,50324,3760
Sinaloa,Mexico,2021-01-30,31193,4708
Sonora,Mexico,2021-01-30,62602,5260
Tabasco,Mexico,2021-01-30,52521,3490
Tamaulipas,Mexico,2021-01-30,48072,3880
Tlaxcala,Mexico,2021-01-30,14984,1842
Unknown,Mexico,2021-01-30,0,0
Veracruz,Mexico,2021-01-30,50817,7188
Yucatan,Mexico,2021-01-30,30093,2700
Zacatecas,Mexico,2021-01-30,25121,2076
not provided,Micronesia,2021-01-30,1,0
not provided,Moldova,2021-01-30,159513,3434
not provided,Monaco,2021-01-30,1475,11
not provided,Mongolia,2021-01-30,1779,2
not provided,Montenegro,2021-01-30,61202,802
not provided,Morocco,2021-01-30,470691,8259
not provided,Mozambique,2021-01-30,37705,363
not provided,Namibia,2021-01-30,33832,350
not provided,Nepal,2021-01-30,270854,2027
Aruba,Netherlands,2021-01-30,6944,59
Bonaire. Sint Eustatius and Saba,Netherlands,2021-01-30,196,3
Curacao,Netherlands,2021-01-30,4582,21
Drenthe,Netherlands,2021-01-30,18364,240
Flevoland,Netherlands,2021-01-30,23718,193
Friesland,Netherlands,2021-01-30,21261,259
Gelderland,Netherlands,2021-01-30,111316,1645
Groningen,Netherlands,2021-01-30,22061,157
Limburg,Netherlands,2021-01-30,63045,1292
Noord-Brabant,Netherlands,2021-01-30,152470,2667
Noord-Holland,Netherlands,2021-01-30,164335,1997
Overijssel,Netherlands,2021-01-30,69577,945
Sint Maarten,Netherlands,2021-01-30,1853,27
Unknown,Netherlands,2021-01-30,1541,10
Utrecht,Netherlands,2021-01-30,78553,1015
Zeeland,Netherlands,2021-01-30,14273,158
Zuid-Holland,Netherlands,2021-01-30,234261,3381
not provided,New Zealand,2021-01-30,2304,25
not provided,Nicaragua,2021-01-30,6253,169
not provided,Niger,2021-01-30,4516,159
not provided,Nigeria,2021-01-30,130557,1578
not provided,North Macedonia,2021-01-30,92518,2848
not provided,Norway,2021-01-30,62793,564
not provided,Oman,2021-01-30,133728,1527
Azad Jammu and Kashmir,Pakistan,2021-01-30,8988,260
